year,cluster,count
1976,0,232
1976,1,11
1976,2,20
1976,3,57
1976,4,553
1977,0,200
1977,1,14
1977,2,23
1977,3,54
1977,4,478
1978,0,203
1978,1,14
1978,2,26
1978,3,53
1978,4,462
1979,0,162
1979,1,11
1979,2,18
1979,3,26
1979,4,396
1980,0,176
1980,1,10
1980,2,20
1980,3,43
1980,4,456
1981,0,215
1981,1,12
1981,2,23
1981,3,67
1981,4,460
1982,0,172
1982,1,13
1982,2,26
1982,3,49
1982,4,420
1983,0,163
1983,1,17
1983,2,21
1983,3,59
1983,4,384
1984,0,221
1984,1,16
1984,2,34
1984,3,56
1984,4,512
1985,0,229
1985,1,21
1985,2,28
1985,3,76
1985,4,483
1986,0,183
1986,1,21
1986,2,34
1986,3,53
1986,4,482
1987,0,194
1987,1,33
1987,2,51
1987,3,91
1987,4,572
1988,0,230
1988,1,25
1988,2,54
1988,3,57
1988,4,545
1989,0,260
1989,1,27
1989,2,49
1989,3,98
1989,4,697
1990,0,274
1990,1,51
1990,2,68
1990,3,64
1990,4,599
1991,0,272
1991,1,42
1991,2,69
1991,3,93
1991,4,682
1992,0,274
1992,1,37
1992,2,81
1992,3,89
1992,4,665
1993,0,287
1993,1,37
1993,2,90
1993,3,97
1993,4,628
1994,0,279
1994,1,38
1994,2,100
1994,3,88
1994,4,683
1995,0,257
1995,1,42
1995,2,123
1995,3,110
1995,4,679
1996,0,243
1996,1,55
1996,2,145
1996,3,142
1996,4,655
1997,0,298
1997,1,56
1997,2,173
1997,3,94
1997,4,660
1998,0,362
1998,1,69
1998,2,238
1998,3,172
1998,4,901
1999,0,384
1999,1,103
1999,2,302
1999,3,133
1999,4,888
2000,0,374
2000,1,97
2000,2,257
2000,3,163
2000,4,915
2001,0,408
2001,1,128
2001,2,265
2001,3,170
2001,4,1010
2002,0,393
2002,1,125
2002,2,289
2002,3,178
2002,4,968
2003,0,379
2003,1,119
2003,2,351
2003,3,169
2003,4,1032
2004,0,325
2004,1,133
2004,2,356
2004,3,165
2004,4,932
2005,0,290
2005,1,99
2005,2,327
2005,3,166
2005,4,780
2006,0,323
2006,1,120
2006,2,461
2006,3,205
2006,4,849
2007,0,312
2007,1,105
2007,2,421
2007,3,177
2007,4,801
2008,0,295
2008,1,99
2008,2,439
2008,3,198
2008,4,752
2009,0,297
2009,1,117
2009,2,565
2009,3,240
2009,4,827
2010,0,426
2010,1,165
2010,2,761
2010,3,209
2010,4,1029
2011,0,394
2011,1,199
2011,2,764
2011,3,250
2011,4,1046
2012,0,489
2012,1,206
2012,2,902
2012,3,259
2012,4,1166
2013,0,508
2013,1,224
2013,2,1039
2013,3,252
2013,4,1237
2014,0,518
2014,1,221
2014,2,1134
2014,3,323
2014,4,1312
2015,0,516
2015,1,224
2015,2,1083
2015,3,300
2015,4,1408
2016,0,493
2016,1,217
2016,2,1190
2016,3,286
2016,4,1365
2017,0,585
2017,1,240
2017,2,1193
2017,3,311
2017,4,1442
2018,0,511
2018,1,212
2018,2,1191
2018,3,301
2018,4,1419
2019,0,544
2019,1,223
2019,2,1472
2019,3,314
2019,4,1631
2020,0,572
2020,1,234
2020,2,1459
2020,3,298
2020,4,1657
2021,0,550
2021,1,206
2021,2,1404
2021,3,243
2021,4,1450
2022,0,476
2022,1,220
2022,2,1345
2022,3,264
2022,4,1456
2023,0,420
2023,1,196
2023,2,1430
2023,3,260
2023,4,1333
2024,0,474
2024,1,255
2024,2,1412
2024,3,290
2024,4,1420
2025,0,481
2025,1,260
2025,2,1339
2025,3,263
2025,4,1441
