name,patents
"SAMSUNG DISPLAY CO., LTD.",174536
International Business Machines Corporation,164083
CANON KABUSHIKI KAISHA,91331
SONY GROUP CORPORATION,62911
Fujitsu Limited,56343
Kabushiki Kaisha Toshiba,53607
Intel Corporation,53219
General Electric Company,52043
LG ELECTRONICS INC.,50000
"HITACHI, LTD.",46073
MITSUBISHI ELECTRIC CORPORATION,45743
QUALCOMM Incorporated,41723
"Taiwan Semiconductor Manufacturing Company, Ltd.",40871
TOYOTA JIDOSHA KABUSHIKI KAISHA,39414
Apple Inc.,39060
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",38360
"Micron Technology, Inc.",38112
NEC CORPORATION,36209
SEIKO EPSON CORPORATION,33863
"HONDA MOTOR CO., LTD.",32298
